Name,Price,Description,Images_url
Seamless Nelly Straight Neck Tank,RM15,A cropped length and stretchy fabric makes the Nelly Stretch Tank the perfect match to your high waisted denim. The square neck is super cute while the wide straps mean all day comfort. We're calling it—this tank top is true love for your wardrobe.,"['https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw2623a0de/2053983/2053983-73-2.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwff581118/2053983/2053983-73-1.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwa25438ca/2053983/2053983-73-3.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwa3daf0a7/2053983/2053983-73-4.jpg?sw=104&sh=156&sm=fit']"
Seamless Benni High Neck Tank,RM15,"Anything but basic, the Benni seamless high neck tank was made for your favourite high waisted denim. Seamless for a smooth fit, this cropped fitted tank is the ultimate wardrobe staple.","['https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw6e8fcaf3/2052732/2052732-98-2.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwde388ad9/2052732/2052732-98-1.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw040cbd2a/2052732/2052732-98-3.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw7bf42d28/2052732/2052732-98-4.jpg?sw=104&sh=156&sm=fit']"
,,,[]
Harry Potter Retro Sporty Zip Through,RM90,,"['https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwb6e76fbd/2057502/2057502-01-2.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw50586a61/2057502/2057502-01-1.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw24ecf1c2/2057502/2057502-01-3.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwe52538c6/2057502/2057502-01-4.jpg?sw=104&sh=156&sm=fit']"
Harry Potter Crew Sweatshirt,RM90,"Every wardrobe needs good sweatshirts and our Harry Potter crew is exactly that. Oversized fitting, comfortable and perfect for layering a top or complete any outfit, you'll want one in every colour.","['https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dwdea5e29a/2055534/2055534-03-2.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw9af77b15/2055534/2055534-03-1.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw0243d956/2055534/2055534-03-3.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-women/default/dw2f0f5672/2055534/2055534-03-4.jpg?sw=104&sh=156&sm=fit']"
Saylor Slip On Plimsoll,RM30,,"['https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-rubishoes/default/dwcbbc70e1/4590996/4590996-11-2.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-rubishoes/default/dw29e44dd7/4590996/4590996-11-1.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-rubishoes/default/dw7e5fe268/4590996/4590996-11-3.jpg?sw=104&sh=156&sm=fit']"
Harlow Lace Up Plimsoll,RM30,"Looking for that classic plimsole look, then the Harlow lace up plimsoll by Rubi shoes is perfect for you.","['https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-rubishoes/default/dw4c126bf1/4589661/4589661-53-2.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-rubishoes/default/dw0e410512/4589661/4589661-53-1.jpg?sw=104&sh=156&sm=fit', 'https://cottonon.com/dw/image/v2/BBDS_PRD/on/demandware.static/-/Sites-catalog-master-rubishoes/default/dw22622b92/4589661/4589661-53-3.jpg?sw=104&sh=156&sm=fit']"
